============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  1 um) ================================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  131  1 .1985602E+07   1000084E-02 -.7984E+01 -.4992E+01   .9999969 -.0023056 -.0009729
T  132  1 .1988321E+07   1000173E-02  .1205E+01  .8534E+00   .9999994  .0009750  .0004904
T  133  1 .1985612E+07   1000199E-02  .6491E+01  .6188E+01   .9999996 -.0005292  .0007502
T  134  1 .1983857E+07   1000167E-02  .2235E+00 -.3084E+00   .9999999  .0003795 -.0002859
T  135  1 .1985962E+07   1000207E-02 -.5329E+01 -.8951E+01   .9999992 -.0012021 -.0002475
T  136  1 .1983192E+07   1000223E-02  .3987E+01 -.1061E+02   .9999973 -.0006206 -.0022533
T  137  1 .1985867E+07   1000225E-02 -.3477E+02  .5566E+01   .9999902 -.0044160 -.0000628
T  138  1 .1979078E+07   1000223E-02  .1139E+02 -.3449E+02   .9999711  .0026525 -.0071244
T  139  1 .1982419E+07   1000165E-02  .5126E+01 -.1130E+02   .9999846  .0047153 -.0029384
T  140  1 .1984988E+07   1000203E-02  .1362E+02  .5751E+01   .9999995  .0009431  .0002450
T  141  1 .1982534E+07   1000134E-02  .2048E+02  .2773E+01   .9999825  .0057860  .0012140
T  142  1 .1983481E+07   1000213E-02 -.2841E+01 -.5929E+01   .9999972 -.0012118 -.0020468
T  143  1 .1985178E+07   1000125E-02  .1284E+02 -.1700E+02   .9999955  .0014173 -.0026584
T  144  1 .1984576E+07   1000170E-02  .9422E+01  .6673E+01   .9999953  .0028675  .0010874
T  145  1 .1982112E+07   1000094E-02 -.8148E+01  .1841E+01   .9999974 -.0021020  .0008743
T  146  1 .1987227E+07   1000168E-02 -.1504E+02 -.3423E+01   .9999899 -.0044287 -.0007878
T  147  1 .1988038E+07   1000178E-02  .9504E+00 -.5530E+01   .9999984 -.0007101 -.0016339
T  148  1 .1983364E+07   1000162E-02 -.7377E+01  .3747E+01   .9999990 -.0011055  .0009359
T  149  1 .1982368E+07   1000161E-02  .4682E+00 -.9765E+01   .9999762 -.0055199 -.0041323
T  150  1 .1984920E+07   1000082E-02 -.1168E+01  .4318E+01   .9999997  .0007076  .0003144
T  151  1 .1986311E+07   1000026E-02 -.5060E+00 -.3803E+00   .9999988  .0011980  .0010045
T  152  1 .1981004E+07   1000182E-02  .1699E+01 -.8078E+01   .9999972  .0004392 -.0023245
T  153  1 .1985691E+07   1000171E-02 -.1033E+02 -.2606E+01   .9999989 -.0004276 -.0014478
T  154  1 .1982351E+07   1000208E-02  .4498E+01  .4909E+01   .9999973 -.0001217  .0023209
T  155  1 .1988869E+07   1000162E-02 -.1459E+01 -.8381E+00   .9999999 -.0004473  .0000140
T  156  1 .1984185E+07   1000089E-02 -.7581E+01 -.2544E+01   .9999947 -.0016768  .0027944
T  157  1 .1984425E+07   1000136E-02 -.9818E+01 -.2040E+02   .9999857 -.0019705 -.0049713
T  158  1 .1986332E+07   1000194E-02 -.5049E+01  .1013E+02   .9999998 -.0004421  .0004793
T  159  1 .1985112E+07   1000080E-02  .2298E+02 -.3228E+02   .9999814  .0033721 -.0050793
T  160  1 .1986452E+07   1000094E-02  .1710E+01  .3333E+01   .9999992  .0004252  .0011580
T  161  1 .1985014E+07   1000200E-02 -.1693E+02  .4343E+00   .9999803 -.0062744 -.0001188
T  162  1 .1981018E+07   1000148E-02  .7717E+01 -.5541E+01   .9999996  .0008432 -.0002012
T  163  1 .1983931E+07   1000033E-02  .3476E+01  .1107E+01   .9999999  .0001268 -.0004319
T  164  1 .1987541E+07   1000079E-02  .2782E+01 -.3583E+00   .9999987  .0009570  .0013004
T  165  1 .1986991E+07   1000172E-02 -.6053E+01 -.5260E+01   .9999995 -.0009928  .0001930
T  166  1 .1980267E+07   1000002E-02 -.6442E+00 -.2470E+01   .9999995  .0005861 -.0007913
T  167  1 .1981994E+07   1000150E-02 -.4781E+01  .5472E+01   .9999994  .0006489  .0008578
T  168  1 .1988734E+07   1000032E-02  .6649E+01 -.2338E+01   .9999983 -.0006679 -.0016990
T  169  1 .1990842E+07   1000171E-02  .3930E+01 -.7076E+01   .9999987  .0011117 -.0011302
T  170  1 .1984216E+07   1000226E-02 -.4514E+02 -.2692E+02   .9999582 -.0075219 -.0052064
T  171  1 .1984440E+07   1000132E-02 -.1175E+01  .1302E+01   .9999999 -.0003150  .0004256
T  172  1 .1986049E+07   1000034E-02 -.4771E+01 -.1133E+02   .9999911 -.0029371 -.0030162
T  173  1 .1982638E+07   1000041E-02 -.3187E+01  .1116E+01   .9999960 -.0016400 -.0023241
T  174  1 .1988512E+07   1000088E-02 -.1526E+00 -.7397E+00   .9999997  .0007124  .0004060
T  175  1 .1988444E+07   1000082E-02 -.1299E+02 -.2569E+01   .9999968 -.0022537 -.0011513
T  176  1 .1980659E+07   1000115E-02 -.6257E+00 -.4461E+01   .9999986  .0000853 -.0016931
T  177  1 .1988898E+07   1000020E-02  .1419E+01  .9887E+00   .9999979  .0009936 -.0017826
T  178  1 .1981056E+07   1000045E-02  .1509E+01  .8153E+01   .9999989 -.0003847  .0014534
T  179  1 .1988608E+07   1000223E-02 -.1571E+01  .8558E+01   .9999956 -.0001540  .0029479
T  180  1 .1982408E+07   1000160E-02  .2057E+02 -.9104E+01   .9999844  .0052737 -.0018611
T  181  1 .1985949E+07   1000167E-02  .9939E+01 -.5979E+01   .9999862  .0047052 -.0023275
T  182  1 .1988711E+07   1000079E-02  .7424E+01  .2874E+01   .9999971 -.0002608  .0023872
T  183  1 .1979662E+07   1000163E-02  .5841E+00  .2923E+01   .9999999  .0001830  .0004859
T  184  1 .1983910E+07   1000225E-02  .2480E+01 -.1846E+01   .9999980  .0014292 -.0013910
T  185  1 .1986915E+07   1000192E-02  .5180E+01 -.1825E+01   .9999976  .0014501  .0016296
T  186  1 .1982479E+07   1000150E-02 -.1202E+02  .5550E+00   .9999990 -.0007099 -.0012331
T  187  1 .1981474E+07   1000195E-02  .3158E+01 -.5871E+01   .9999902  .0016598 -.0041112
T  188  1 .1982592E+07   1000125E-02 -.4463E+02  .1227E+00   .9999580 -.0091536  .0004062
T  189  1 .1985604E+07   1000048E-02 -.2192E+02  .6880E+01   .9999896 -.0044843  .0008429
T  190  1 .1982959E+07   1000220E-02 -.4432E+01 -.1575E+01   .9999982 -.0015225 -.0010935
T  191  1 .1983231E+07   1000191E-02  .5580E+01 -.1358E+02   .9999896 -.0013417 -.0043564
T  192  1 .1989661E+07   1000011E-02 -.6640E+01  .2305E+01   .9999969 -.0024644 -.0004600
T  193  1 .1984721E+07   1000161E-02 -.3621E+01  .8209E+00   .9999952 -.0027035  .0014843
T  194  1 .1987161E+07   1000218E-02 -.1230E+02  .4982E+02   .9999908 -.0010278  .0041663
T  195  1 .1985577E+07   1000141E-02 -.8690E+01 -.1040E+02   .9999992 -.0012649  .0001796
T  196  1 .1986283E+07   1000199E-02 -.2734E+01 -.1236E+01   .9999977 -.0013347 -.0016946
T  197  1 .1985899E+07   1000090E-02  .4340E+01  .6772E+01   .9999981  .0017344  .0009345
T  198  1 .1985927E+07   1000197E-02 -.1877E+02  .1072E+01   .9999989 -.0014598  .0000207
T  199  1 .1985796E+07   1000001E-02  .3640E+01  .9220E+00   .9999997  .0008043  .0001412
T  200  1 .1989203E+07   1000219E-02  .2314E+01  .1320E+02   .9999976  .0001418  .0021889
T  201  1 .1979226E+07   1000096E-02 -.3821E+01  .1124E+02   .9999933 -.0002662  .0036626
T  202  1 .1986518E+07   1000208E-02 -.9040E+00 -.4134E+00   .9999884 -.0039942 -.0026842
T  203  1 .1986745E+07   1000162E-02  .9486E+01 -.1394E+01   .9999991  .0010162 -.0009312
T  204  1 .1984853E+07   1000170E-02 -.8644E+01 -.1811E+01   .9999999  .0000378  .0003957
T  205  1 .1988115E+07   1000172E-02  .1514E+02  .8032E+01   .9999917  .0040798  .0000091
T  206  1 .1985894E+07   1000040E-02 -.3773E+01  .8589E+00   .9999999 -.0003516 -.0001673
T  207  1 .1986021E+07   1000216E-02  .8547E+00 -.1161E+01   .9999966  .0010974 -.0023489
T  208  1 .1982609E+07   1000106E-02 -.4336E+01  .1109E+01   .9999943 -.0024062  .0023725
T  209  1 .1983003E+07   1000160E-02 -.3865E+01 -.1118E+02   .9999999 -.0002267 -.0004350
T  210  1 .1983375E+07   1000078E-02 -.3525E-01  .1518E+01   .9999999  .0003935  .0001468
T  211  1 .1985134E+07   1000150E-02  .1236E+02 -.1279E+02   .9999962  .0017417 -.0021220
T  212  1 .1982136E+07   1000175E-02 -.5732E+01 -.8497E+01   .9999979 -.0012943 -.0016148
T  213  1 .1985767E+07   1000058E-02  .4897E+01  .4264E+01   .9999996 -.0000084  .0008747
T  214  1 .1987305E+07   1000226E-02  .3523E+00  .9874E-01   .9999993  .0010967 -.0005016
