============================== SRIM-2013.00 ==============================
==============================================================================
=================  TRANSMIT.txt : File of Transmitted Ions  ==================
=  This file tabulates the kinetics of ions or atoms leaving the target.     =
=  Column #1: S= Sputtered Atom, B= Backscattered Ion, T= Transmitted Ion.   =
=  Col.#2: Ion Number, Col.#3: Z of atom leaving, Col.#4: Atom energy (eV).  =
=  Col.#5-7: Last location:  X= Depth into target, Y,Z= Transverse axes.     =
=  Col.#8-10: Cosines of final trajectory.                                   =
= *** This data file is in the same format as TRIM.DAT (see manual for uses).=
====== TRIM Calc.=  H(2 MeV) ==> PMMA(  5 um) ================================
 Ion  Atom   Energy        Depth       Lateral-Position        Atom Direction      
 Numb Numb    (eV)          X(A)        Y(A)       Z(A)      Cos(X)  Cos(Y) Cos(Z) 
T  133  1 .1921853E+07   5000199E-02 -.8733E+02 -.9586E+02   .9999906 -.0026710 -.0034292
T  134  1 .1927511E+07   5000134E-02 -.1989E+03 -.6069E+02   .9999122 -.0128166 -.0033749
T  135  1 .1924072E+07   5000192E-02 -.2929E+02 -.2165E+02   .9999999 -.0003643  .0000464
T  136  1 .1913989E+07   5000113E-02  .1473E+00  .1028E+02   .9999984 -.0008366  .0015557
T  137  1 .1915408E+07   5000216E-02  .1948E+02  .1026E+03   .9999919  .0039276  .0008922
T  138  1 .1924591E+07   5000007E-02 -.3427E+02 -.1512E+03   .9999820  .0023534 -.0055151
T  139  1 .1920225E+07   5000058E-02 -.1160E+03  .3344E+02   .9999889 -.0043141 -.0018858
T  140  1 .1927401E+07   5000126E-02 -.1543E+02 -.1008E+03   .9999952 -.0023445 -.0020477
T  141  1 .1919476E+07   5000117E-02 -.1236E+03  .7157E+02   .9999568 -.0092110 -.0012203
T  142  1 .1926213E+07   5000098E-02 -.5267E+02 -.1286E+03   .9999688 -.0033396 -.0071535
T  143  1 .1930656E+07   5000168E-02 -.2697E+01  .7172E+01   .9999963  .0003379  .0026885
T  144  1 .1913081E+07   5000028E-02  .1222E+03  .5935E+02   .9999883  .0034773  .0033534
T  145  1 .1924437E+07   5000155E-02 -.1491E+03 -.9489E+02   .9999403 -.0075484 -.0078948
T  146  1 .1923080E+07   5000103E-02  .1964E+02 -.1770E+02   .9999991  .0006569 -.0011618
T  147  1 .1923164E+07   5000177E-02  .5012E+02  .1623E+02   .9999791  .0063804  .0010621
T  148  1 .1928827E+07   5000014E-02 -.7427E+01  .9762E+02   .9999976 -.0006622  .0021044
T  149  1 .1919732E+07   5000155E-02 -.7199E+02  .8280E+02   .9999928 -.0010347  .0036590
T  150  1 .1926272E+07   5000169E-02 -.2634E+02 -.1066E+02   .9999909 -.0016011 -.0039434
T  151  1 .1929959E+07   5000222E-02  .3960E+02 -.9165E+02   .9999891 -.0004533  .0046371
T  152  1 .1920983E+07   5000226E-02 -.2437E+02 -.6346E+02   .9999892 -.0028702 -.0036657
T  153  1 .1912742E+07   5000134E-02 -.4104E+03 -.4612E+03   .9997642 -.0138486 -.0167252
T  154  1 .1917434E+07   5000030E-02  .1134E+03 -.1008E+02   .9999867  .0051592  .0001625
T  155  1 .1921866E+07   5000219E-02  .2163E+01 -.1694E+02   .9999988  .0015391  .0001752
T  156  1 .1920436E+07   5000204E-02 -.1409E+02 -.5523E+01   .9999999  .0002271  .0000927
T  157  1 .1932841E+07   5000183E-02  .1203E+03 -.2898E+02   .9999967  .0004807 -.0025185
T  158  1 .1930662E+07   5000076E-02  .1242E+03  .1414E+03   .9999440  .0058044  .0088503
T  159  1 .1931801E+07   5000018E-02  .1722E+03 -.2711E+02   .9999517  .0024076 -.0095297
T  160  1 .1927089E+07   5000163E-02  .6219E+02 -.2520E+03   .9999533  .0019757 -.0094622
T  161  1 .1917882E+07   5000181E-02 -.3491E+02  .5571E+01   .9999818 -.0057075 -.0019748
T  162  1 .1915749E+07   5000075E-02  .1352E+03 -.5622E+01   .9999733  .0060160 -.0041599
T  163  1 .1920655E+07   5000106E-02 -.1343E+03  .7187E+01   .9999670 -.0058420  .0056463
T  164  1 .1922218E+07   5000017E-02  .1137E+02 -.3294E+02   .9999961 -.0002400 -.0027654
T  165  1 .1919377E+07   5000180E-02  .2574E+02  .4523E+01   .9999979  .0017756 -.0010431
T  166  1 .1916704E+07   5000216E-02 -.3091E+02 -.1533E+02   .9999918 -.0038621  .0011843
T  167  1 .1924092E+07   5000191E-02  .1061E+03 -.5382E+02   .9999675  .0076064 -.0026855
T  168  1 .1937636E+07   5000138E-02  .6101E+02 -.1216E+03   .9999801 -.0016263 -.0061022
T  169  1 .1922398E+07   5000143E-02 -.3824E+01  .7457E+02   .9999934  .0024185  .0027124
T  170  1 .1922489E+07   5000109E-02 -.8022E+02 -.8381E+02   .9999910 -.0035996 -.0022599
T  171  1 .1923613E+07   5000012E-02  .1862E+02  .1623E+03   .9999450  .0037237  .0098058
T  172  1 .1925314E+07   5000067E-02 -.1552E+03  .1469E+03   .9999631  .0048244  .0071027
T  173  1 .1920004E+07   5000104E-02 -.2888E+02 -.9198E+02   .9999797 -.0026947 -.0057741
T  174  1 .1923375E+07   5000194E-02 -.2226E+02  .4370E+02   .9999980 -.0008504 -.0018130
T  175  1 .1924757E+07   5000023E-02  .2498E+01 -.1757E+03   .9999586 -.0022641 -.0088173
T  176  1 .1925847E+07   5000120E-02  .1102E+03  .3918E+02   .9999665 -.0050584  .0064288
T  177  1 .1924436E+07   5000046E-02  .2680E+03  .3852E+03   .9997265  .0125492  .0197326
T  178  1 .1916175E+07   5000103E-02 -.1283E+03 -.4561E+02   .9999135 -.0131497  .0003007
T  179  1 .1926218E+07   5000157E-02  .7122E+01  .1186E+02   .9999837  .0045642 -.0034174
T  180  1 .1909064E+07   5000080E-02 -.2232E+02 -.2592E+02   .9999960 -.0014849 -.0024255
T  181  1 .1920864E+07   5000009E-02  .3174E+02 -.6460E+02   .9999954  .0012465 -.0027620
T  182  1 .1930876E+07   5000176E-02 -.2754E+03  .8618E+01   .9999142 -.0130939 -.0003169
T  183  1 .1918998E+07   5000220E-02 -.2792E+03  .3292E+03   .9996273 -.0163288  .0218793
T  184  1 .1926486E+07   5000068E-02  .7328E+02  .7106E+02   .9999973 -.0019557  .0012669
T  185  1 .1917570E+07   5000210E-02  .4234E+02  .4944E+03   .9996885  .0037885  .0246685
T  186  1 .1924211E+07   5000153E-02  .1328E+03  .6811E+02   .9999830  .0041157  .0041273
T  187  1 .1917515E+07   5000092E-02  .6548E+02  .1288E+03   .9999816  .0018159  .0057860
T  188  1 .1920706E+07   5000103E-02  .2073E+03  .6459E+02   .9999844  .0051925  .0020816
T  189  1 .1935927E+07   5000013E-02 -.1083E+02  .2028E+02   .9999872 -.0012526 -.0049062
T  190  1 .1921430E+07   5000044E-02 -.7677E+02  .2606E+02   .9999823 -.0047007  .0036588
T  191  1 .1925598E+07   5000223E-02 -.1473E+03 -.6714E+01   .9999834 -.0055632 -.0014877
T  192  1 .1924615E+07   5000089E-02 -.1177E+03 -.1400E+03   .9999811  .0037686 -.0048576
T  193  1 .1912805E+07   5000021E-02 -.5012E+02  .1065E+03   .9999893 -.0011798  .0044669
T  194  1 .1922313E+07   5000168E-02 -.5258E+02  .6444E+02   .9999797 -.0033371  .0054233
T  195  1 .1914480E+07   5000036E-02  .7069E+02  .1071E+03   .9999542 -.0017334  .0094153
T  196  1 .1935665E+07   5000208E-02  .5246E+02  .1866E+03   .9999643  .0022450  .0081494
T  197  1 .1921824E+07   5000036E-02 -.1370E+02 -.8203E+02   .9999633 -.0059130 -.0061970
T  198  1 .1919221E+07   5000209E-02  .6933E+01 -.5919E+02   .9999986  .0008297 -.0014207
T  199  1 .1918355E+07   5000116E-02 -.8797E+02 -.2122E+03   .9999201 -.0002149 -.0126353
T  200  1 .1919456E+07   5000219E-02 -.2683E+02 -.4857E+02   .9999839 -.0026825 -.0050100
T  201  1 .1907769E+07   5000057E-02  .5865E+02 -.1638E+02   .9999903  .0043797 -.0004370
